src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.44.2,192.168.44.128,53,37719,17,2023-01-01 18:08:45,0.0,0,0,0,0,1,0,157,0,157.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,157,157,157.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,157.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0,1,0,157,0
192.168.44.128,104.18.15.176,45326,80,6,2023-01-01 18:08:45,977561.0,1921.107736499308,9.206586596642051,5.114770331467806,4.091816265174245,5,4,802,1076,566.0,54.0,160.4,202.9478750812632,896.0,60.0,269.0,361.99861878189535,896,54,208.66666666666666,289.8888675950761,84035.55555555556,100,80,20,1,122195.125,599248.0,27.0,190514.38148499283,977136.0,599248.0,95359.0,244284.0,206890.31290879715,882229.0,599731.0,110777.0,294076.3333333333,217557.84552670637,0,0,0,0,1,0,0,0,0,0,0,0.8,208.66666666666666,65535,64239,171006.0,95305.0,125676.66666666667,32664.5495334349,599190.0,95332.0,244069.5,206992.86269156722,0.0,0.0,0.0,0.0,0.0,0.0,160.4,269.0,0,5,4,802,1076
192.168.44.128,192.168.44.2,52963,53,17,2023-01-01 18:08:45,50531.0,4611.0308523480635,39.57966396865291,19.789831984326455,19.789831984326455,1,1,76,157,76.0,76.0,76.0,0.0,157.0,157.0,157.0,0.0,157,76,116.5,40.5,1640.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,116.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,157.0,0,1,1,76,157
192.168.44.128,104.18.15.176,45334,80,6,2023-01-01 18:08:45,918824.0,2166.9002986426126,11.971824854379076,6.530086284206769,5.4417385701723076,6,5,856,1135,566.0,54.0,142.66666666666666,189.46122441163405,895.0,60.0,227.0,334.0,895,54,181.0,268.421310629391,72050.0,120,100,20,1,91882.4,469471.0,32.0,134244.9424844005,918467.0,510067.99999999994,77772.0,183693.4,163808.11649683295,818057.0,469553.0,108522.0,204514.25,153094.42437001911,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,181.0,65535,64239,428874.0,100735.0,189619.25,138329.08599671835,469389.0,37175.0,167249.8,153807.115569339,0.0,0.0,859.0,4.0,0.0,1210.652046763021,142.66666666666666,227.0,0,6,5,856,1135
192.168.44.128,192.168.44.2,41639,53,17,2023-01-01 18:08:45,55722.0,4181.4723089623485,35.892466171350634,17.946233085675317,17.946233085675317,1,1,76,157,76.0,76.0,76.0,0.0,157.0,157.0,157.0,0.0,157,76,116.5,40.5,1640.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,116.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,157.0,0,1,1,76,157
192.168.44.128,104.18.15.176,45342,80,6,2023-01-01 18:08:45,1423190.0,1398.9699196874626,7.729115578383772,4.215881224572967,3.5132343538108053,6,5,856,1135,566.0,54.0,142.66666666666666,189.46122441163405,895.0,60.0,227.0,334.0,895,54,181.0,268.421310629391,72050.0,120,100,20,1,142319.0,699100.0,19.0,217379.1628606569,1422893.0,699100.0,34187.0,284578.6,246494.35573464964,1265460.0,699341.0,78183.0,316365.0,251616.62075864544,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,181.0,65535,64239,698888.0,103664.0,320084.3333333333,268761.55820396304,699071.0,103471.0,336121.75,234518.1798468671,0.0,0.0,859.0,4.0,0.0,1517.3488259535538,142.66666666666666,227.0,0,6,5,856,1135
192.168.44.128,192.168.44.2,44979,53,17,2023-01-01 18:08:45,112749.0,2066.5371754960133,17.738516527862775,8.869258263931387,8.869258263931387,1,1,76,157,76.0,76.0,76.0,0.0,157.0,157.0,157.0,0.0,157,76,116.5,40.5,1640.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,116.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,157.0,0,1,1,76,157
192.168.44.128,104.18.15.176,45352,80,6,2023-01-01 18:08:45,1304666.0,1438.6823907421515,6.898317270473822,3.8323984835965677,3.0659187868772544,5,4,802,1075,566.0,54.0,160.4,202.9478750812632,895.0,60.0,268.75,361.56560608000314,895,54,208.55555555555554,289.6254712214499,83882.91358024691,100,80,20,1,163083.25,627304.0,36.0,225027.85060506954,1304307.0,627304.0,112513.0,326076.75,219460.9914738551,1192199.0,627635.0,119963.0,397399.6666666667,209926.4780779743,0,0,0,0,1,0,0,0,0,0,0,0.8,208.55555555555554,65535,64239,627019.0,112421.0,286455.6666666667,240834.13796959008,627258.0,112467.0,325893.25,219593.71328361725,0.0,0.0,0.0,0.0,0.0,0.0,160.4,268.75,0,5,4,802,1075
192.168.44.128,104.18.15.176,39692,80,6,2023-01-01 18:08:45,441.0,258503.40136054423,4535.14739229025,2267.573696145125,2267.573696145125,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,65535,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,1,1,54,60
192.168.44.128,104.18.15.176,45320,80,6,2023-01-01 18:08:45,711286.0,2375.9781578717984,8.435425412562598,4.217712706281299,4.217712706281299,3,3,674,1016,566.0,54.0,224.66666666666666,241.35911464500822,896.0,60.0,338.6666666666667,394.09417938130247,896,54,281.6666666666667,331.70954496701205,110031.2222222222,60,60,20,1,142257.2,590640.0,45.0,228882.17636102642,710835.0,590640.0,120195.0,355417.5,235222.5,710570.0,591136.0,119434.0,355285.0,235851.0,0,0,0,0,1,0,0,0,0,0,0,1.0,281.6666666666667,65535,64239,119389.0,716.0,60052.5,59336.5,590595.0,118718.0,354656.5,235938.5,0.0,0.0,0.0,0.0,0.0,0.0,224.66666666666666,338.6666666666667,0,3,3,674,1016
