src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.20.31.108,172.20.24.1,49229,53,17,2023-04-28 09:27:08,14345.0,28441.965841756708,139.42140118508192,69.71070059254096,69.71070059254096,1,1,103,305,103.0,103.0,103.0,0.0,305.0,305.0,305.0,0.0,305,103,204.0,101.0,10201.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,204.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,305.0,0,1,1,103,305
172.20.31.108,172.20.24.1,35360,53,17,2023-04-28 09:27:08,153449.0,3284.478882234488,13.033646358073366,6.516823179036683,6.516823179036683,1,1,103,401,103.0,103.0,103.0,0.0,401.0,401.0,401.0,0.0,401,103,252.0,149.0,22201.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,252.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,401.0,0,1,1,103,401
172.20.31.108,3.233.155.15,33678,443,6,2023-04-28 09:27:08,50511129.0,4593.581743144169,6.750987490301395,4.078309158363893,2.6726783319375027,206,135,212604,19423,1448.0,66.0,1032.0582524271845,584.2323205486368,1688.0,66.0,143.8740740740741,206.22761354170206,1688,66,680.4310850439882,641.6409672715945,411703.1308812274,4120,2700,20,165,148562.14411764705,25477974.0,1.0,1447672.8635136725,50511129.0,25477974.0,1.0,246395.7512195122,1858064.7702700053,50372817.0,25595222.0,1.0,375916.5447761194,2304241.9118651794,0,0,0,0,1,0,0,0,0,0,0,0.6553398058252428,680.4310850439882,64240,1262,25477971.0,14678.0,941125.0754716981,3563637.5568305855,25477611.0,5219.0,860901.1724137932,3416473.6530963755,15360.25,12.083333333333334,1654.0,4.666666666666667,209243.242445536,30168.902075708014,1032.0582524271845,143.8740740740741,0,206,135,212604,19423
172.20.24.1,255.255.255.255,67,68,17,2023-04-28 09:27:09,51219013.0,82.70366318851165,0.2538119975095967,0.2538119975095967,0.0,13,0,4236,0,336.0,292.0,325.84615384615387,18.538301946328698,0.0,0.0,0.0,0.0,336,292,325.84615384615387,18.538301946328698,343.66863905325437,104,0,8,13,4268251.083333333,23161841.0,55952.0,6085217.906218882,51219013.0,23161841.0,55952.0,4268251.083333333,6085217.906218882,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,325.84615384615387,0,0,5680323.0,1669164.0,3320221.6666666665,1712582.1287849394,21326159.0,523745.0,6624501.2,7614694.406074991,0.0,0.0,0.0,0.0,0.0,0.0,325.84615384615387,0.0,0,13,0,4236,0
3.224.247.252,172.20.31.108,443,52462,6,2023-04-28 09:27:14,1749677.0,594.9669567583046,6.85840872343867,4.572272482292446,2.286136241146223,8,4,636,405,134.0,54.0,79.5,26.229754097208,139.0,66.0,101.25,25.926579026165406,139,54,86.75,28.06874002634722,787.8541666666666,160,80,20,3,159061.54545454544,1347082.0,4.0,380733.0292015328,1749677.0,1457012.0,4.0,249953.85714285713,497458.0023945822,1646794.0,1536328.0,44.0,548931.3333333334,699647.5106458173,0,0,0,0,1,0,0,0,0,0,0,0.5,86.75,212,501,1347038.0,1280.0,674159.0,672879.0,1157836.0,101494.0,482432.0,478885.70251365827,0.0,0.0,0.0,0.0,0.0,0.0,79.5,101.25,0,8,4,636,405
172.20.31.108,52.35.122.219,59494,443,6,2023-04-28 09:27:15,407523.0,1884.5562090974006,24.538492305955735,12.269246152977868,12.269246152977868,5,5,398,370,103.0,66.0,79.6,16.764247671756703,99.0,54.0,74.0,20.089798406156294,103,54,76.8,18.712562625145708,350.16,100,100,20,2,45280.333333333336,207536.0,3.0,84556.30893867904,208134.0,207578.0,29.0,52033.5,89803.86045850145,199987.0,199846.0,13.0,49996.75,86515.50735670167,0,0,0,0,1,0,0,0,0,0,0,1.0,76.8,501,0,0.0,0.0,0.0,0.0,207536.0,199291.0,203413.5,4122.5,0.0,0.0,0.0,0.0,0.0,0.0,79.6,74.0,0,5,5,398,370
172.20.31.108,172.20.24.1,39413,53,17,2023-04-28 09:27:15,98187.0,2525.792620204304,20.369295324228258,10.184647662114129,10.184647662114129,1,1,92,156,92.0,92.0,92.0,0.0,156.0,156.0,156.0,0.0,156,92,124.0,32.0,1024.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,124.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,156.0,0,1,1,92,156
172.20.31.108,172.20.24.1,57226,53,17,2023-04-28 09:27:15,10855.0,24689.0833717181,184.24689083371717,92.12344541685859,92.12344541685859,1,1,92,176,92.0,92.0,92.0,0.0,176.0,176.0,176.0,0.0,176,92,134.0,42.0,1764.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,134.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,176.0,0,1,1,92,176
172.20.31.108,172.20.24.1,43301,53,17,2023-04-28 09:27:15,98000.0,2020.408163265306,20.408163265306122,10.204081632653061,10.204081632653061,1,1,85,113,85.0,85.0,85.0,0.0,113.0,113.0,113.0,0.0,113,85,99.0,14.0,196.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,99.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,113.0,0,1,1,85,113
172.20.31.108,172.20.24.1,45891,53,17,2023-04-28 09:27:15,84571.0,2932.4472928072273,23.648768490380867,11.824384245190434,11.824384245190434,1,1,89,159,89.0,89.0,89.0,0.0,159.0,159.0,159.0,0.0,159,89,124.0,35.0,1225.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,124.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,159.0,0,1,1,89,159
