src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.44.128,192.168.44.2,40504,53,17,2023-01-01 14:45:16,152585.0,2791.8864894976573,26.214896615001475,13.107448307500738,13.107448307500738,2,2,138,288,69.0,69.0,69.0,0.0,144.0,144.0,144.0,0.0,144,69,106.5,37.5,1406.25,16,16,8,2,50861.666666666664,116177.0,149.0,48480.59819029556,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,106.5,0,0,0.0,0.0,0.0,0.0,116028.0,36259.0,76143.5,39884.5,0.0,0.0,0.0,0.0,0.0,0.0,69.0,144.0,0,2,2,138,288
192.168.44.128,192.168.44.255,33509,137,17,2023-01-01 14:45:16,0.0,0,0,0,0,1,0,92,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0,1,0,92,0
192.168.44.128,192.168.44.2,41046,53,17,2023-01-01 14:45:17,153451.0,2450.29357905781,26.066952968700104,13.033476484350052,13.033476484350052,2,2,144,232,72.0,72.0,72.0,0.0,128.0,104.0,116.0,12.0,128,72,94.0,23.57965224510319,556.0,16,16,8,2,51150.333333333336,102410.0,166.0,41741.392249048055,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,94.0,0,0,0.0,0.0,0.0,0.0,51535.0,50709.0,51122.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,116.0,0,2,2,144,232
192.168.44.128,104.18.4.159,33332,443,6,2023-01-01 14:45:17,2614193.0,178753.82575043233,105.96004197088737,51.641175689782656,54.31886628110472,135,142,13310,453987,571.0,54.0,98.5925925925926,68.93951146785574,21954.0,60.0,3197.0915492957747,4289.138698306324,21954,54,1686.9927797833934,3439.7328741393903,11831762.24543523,2700,2840,20,57,9471.713768115942,414301.0,1.0,39628.230893764616,2614193.0,414301.0,47.0,19508.902985074626,56622.8059923368,2464693.0,414887.0,1.0,17480.09219858156,53949.16257323371,0,0,0,0,1,0,0,0,0,0,0,1.0518518518518518,1686.9927797833934,64240,64240,413768.0,5472.0,47718.69565217391,82918.0262608459,414248.0,5415.0,49089.9375,83208.29902705175,0.0,0.0,108708.5,20.5,0.0,713234.3172069907,98.5925925925926,3197.0915492957747,0,135,142,13310,453987
192.168.44.128,192.168.44.2,51958,53,17,2023-01-01 14:45:18,39395.0,13148.87676101028,101.53572788424927,50.767863942124634,50.767863942124634,2,2,148,370,74.0,74.0,74.0,0.0,197.0,173.0,185.0,12.0,197,74,129.5,56.1449018166387,3152.25,16,16,8,2,13131.666666666666,33112.0,91.0,14346.099129109007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,129.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,185.0,0,2,2,148,370
192.168.44.128,192.168.44.2,40595,53,17,2023-01-01 14:45:19,2042202.0,178.23897929783635,1.9586701021740258,0.9793350510870129,0.9793350510870129,2,2,160,204,80.0,80.0,80.0,0.0,108.0,96.0,102.0,6.0,108,80,91.0,11.789826122551595,139.0,16,16,8,2,680734.0,2004902.0,72.0,936451.0349370472,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,91.0,0,0,0.0,0.0,0.0,0.0,1967674.0,37156.0,1002415.0,965259.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,102.0,0,2,2,160,204
192.168.44.128,142.250.78.74,55060,443,17,2023-01-01 14:45:21,422337.0,30425.93947487433,61.5622121670609,28.413328692489646,33.14888347457126,12,14,3933,8917,1399.0,73.0,327.75,484.05218812988886,1399.0,70.0,636.9285714285714,580.3370282228515,1399,70,494.2307692307692,559.6846851090015,313246.94674556213,96,112,8,12,16893.48,122506.0,0.0,27537.478990089126,372136.0,122506.0,104.0,33830.545454545456,35247.175341020746,382618.0,154061.0,0.0,29432.153846153848,43776.71546495246,0,0,0,0,1,0,0,0,0,0,0,1.1666666666666667,494.2307692307692,0,0,122402.0,27394.0,50332.833333333336,32916.13786284101,119674.0,7959.0,39133.11111111111,32016.598991580202,0.0,0.0,4922.0,4.0,0.0,4922000000.0,327.75,636.9285714285714,0,12,14,3933,8917
192.168.44.128,142.250.78.74,55940,443,6,2023-01-01 14:45:21,383067.0,18471.96443442009,44.37865960784928,23.49458449827315,20.88407510957613,9,8,1288,5788,571.0,54.0,143.11111111111111,159.92320687994422,4735.0,60.0,723.5,1529.0542828820696,4735,54,416.2352941176471,1094.3947846351782,1197699.9446366783,180,160,20,4,23941.6875,161294.0,37.0,42088.23206776264,383067.0,161294.0,566.0,47883.375,51434.32990459169,300932.0,161676.0,834.0,42990.28571428572,55194.42959914987,0,0,0,0,1,0,0,0,0,0,0,0.8888888888888888,416.2352941176471,64240,64240,161050.0,29618.0,77909.25,51925.6569210973,161227.0,21125.0,59069.5,50101.9323637655,0.0,0.0,0.0,0.0,0.0,0.0,143.11111111111111,723.5,0,9,8,1288,5788
192.168.44.128,192.168.44.2,54378,53,17,2023-01-01 14:45:21,35889.0,11312.658474741565,111.45476329794646,55.72738164897323,55.72738164897323,2,2,146,260,73.0,73.0,73.0,0.0,136.0,124.0,130.0,6.0,136,73,101.5,28.81405906844782,830.25,16,16,8,2,11963.0,26545.0,69.0,10974.626857741756,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,101.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,130.0,0,2,2,146,260
192.168.44.128,192.168.44.2,50446,53,17,2023-01-01 14:45:22,41425.0,8497.284248642125,96.56004828002415,48.280024140012074,48.280024140012074,2,2,154,198,77.0,77.0,77.0,0.0,105.0,93.0,99.0,6.0,105,77,88.0,11.789826122551595,139.0,16,16,8,2,13808.333333333334,41299.0,1.0,19438.902735379783,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,88.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,99.0,0,2,2,154,198
