src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.44.2,192.168.44.128,53,50563,17,2023-01-01 18:10:25,0.0,0,0,0,0,1,0,157,0,157.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,157,157,157.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,157.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0,1,0,157,0
192.168.44.128,104.18.15.176,54208,80,6,2023-01-01 18:10:25,5182349.0,361.8050424624046,2.122589582446107,1.1577761358796947,0.9648134465664122,6,5,740,1135,450.0,54.0,123.33333333333333,146.27219679609505,895.0,60.0,227.0,334.0,895,54,170.45454545454547,255.03346077662528,65042.06611570246,120,100,20,1,518234.9,3847448.0,60.0,1128343.8744135983,5181982.0,3847448.0,103974.0,1036396.4,1419468.412824266,5078435.0,3890651.0,184685.0,1269608.75,1524174.9146194435,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,170.45454545454547,65535,64239,681478.0,103854.0,311729.5,222111.40336833225,3804612.0,103914.0,1018873.2,1406886.1443985295,0.0,0.0,0.0,0.0,0.0,0.0,123.33333333333333,227.0,0,6,5,740,1135
192.168.44.128,192.168.44.2,36560,53,17,2023-01-01 18:10:25,39484.0,5901.124506129066,50.65342923715936,25.32671461857968,25.32671461857968,1,1,76,157,76.0,76.0,76.0,0.0,157.0,157.0,157.0,0.0,157,76,116.5,40.5,1640.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,116.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,157.0,0,1,1,76,157
192.168.44.128,104.18.15.176,54222,80,6,2023-01-01 18:10:25,7292295.0,241.6248931234954,1.2341793632868665,0.6856552018260369,0.5485241614608295,5,4,686,1076,450.0,54.0,137.2,156.59169837510544,896.0,60.0,269.0,361.99861878189535,896,54,195.77777777777777,275.95884466821724,76153.28395061726,100,80,20,1,911536.875,5011694.0,19.0,1684137.0798295664,7291814.0,5011694.0,90513.0,1822953.5,2002821.3605824285,7201860.0,5011965.0,141871.0,2400620.0,2003779.2371118797,0,0,0,0,1,0,0,0,0,0,0,0.8,195.77777777777777,65535,64239,5011501.0,90357.0,1747903.3333333333,2307807.7954573156,5011616.0,90435.0,1822808.5,2002891.6277909921,0.0,0.0,0.0,0.0,0.0,0.0,137.2,269.0,0,5,4,686,1076
192.168.44.128,104.18.14.176,58144,80,6,2023-01-01 18:10:25,506.99999999999994,224852.07100591718,3944.7731755424065,1972.3865877712033,1972.3865877712033,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,65535,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,1,1,54,60
192.168.44.128,104.18.15.176,54126,80,6,2023-01-01 18:10:25,328.0,347560.9756097561,6097.560975609756,3048.780487804878,3048.780487804878,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,65535,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,1,1,54,60
192.168.44.128,104.18.15.176,53472,80,6,2023-01-01 18:10:25,360.0,316666.6666666666,5555.555555555556,2777.777777777778,2777.777777777778,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,65535,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,1,1,54,60
192.168.44.128,104.18.14.176,37024,80,6,2023-01-01 18:10:25,269.0,423791.8215613383,7434.9442379182165,3717.4721189591082,3717.4721189591082,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,65535,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,1,1,54,60
192.168.44.128,104.18.15.176,53458,80,6,2023-01-01 18:10:25,293.0,389078.49829351535,6825.938566552901,3412.9692832764504,3412.9692832764504,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,65535,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,1,1,54,60
192.168.44.128,104.18.15.176,53448,80,6,2023-01-01 18:10:25,255.00000000000003,447058.82352941175,7843.137254901961,3921.5686274509803,3921.5686274509803,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,65535,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,1,1,54,60
