src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
3.163.60.117,10.143.15.154,443,36292,6,2025-08-22 18:33:10,52890748.0,94515.45287277842,88.0116121632464,53.97919500022953,34.032417163016866,2855,1800,4865417,133576,2802.0,54.0,1704.1740805604204,652.3630913616395,359.0,66.0,74.2088888888889,24.525218968076487,2802,54,1073.897529538131,944.1015447352871,891327.7267715553,57100,36000,20,2778,11364.578427159433,28281665.0,0.0,416075.7448079182,52890661.0,28281665.0,1.0,18532.11667834618,531533.9115404483,52890589.0,28329548.0,10.0,29399.99388549194,670204.3419436755,0,0,0,0,1,0,0,0,0,0,0,0.6304728546409807,1073.897529538131,257,10827,1566465.0,76.0,26978.07264957265,89119.55168429234,28247848.0,5013.0,63808.09459459459,1040249.764457576,423714.63636363635,249.63636363636363,439.8,4.2,304347.43997382314,2873.839241431901,1704.1740805604204,74.2088888888889,0,2855,1800,4865417,133576
13.227.19.219,10.143.15.154,443,60980,6,2025-08-22 18:33:23,32257326.999999996,51.52317797441803,0.4030092139996597,0.18600425261522757,0.21700496138443215,6,7,937,725,580.0,54.0,156.16666666666666,190.33690889811388,216.0,66.0,103.57142857142857,49.114609821917384,580,54,127.84615384615384,136.77373013279222,18707.053254437873,120,140,20,2,2688110.5833333335,29662100.0,2.0,8156503.5870362315,32257282.0,29662100.0,2.0,6451456.4,11645706.612999206,32257256.0,29732023.0,463.0,5376209.333333333,10922303.70373782,0,0,0,0,1,0,0,0,0,0,0,1.1666666666666667,127.84615384615384,145,598,2274583.0,71.0,808101.3333333334,1038755.6107549497,29592222.0,51502.0,6417252.4,11618840.425591301,0.0,0.0,0.0,0.0,0.0,0.0,156.16666666666666,103.57142857142857,0,6,7,937,725
20.190.190.132,10.143.15.154,443,43816,6,2025-08-22 18:33:25,30158616.0,10.743198560570551,0.19894812149204727,0.13263208099469817,0.06631604049734909,4,2,216,108,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,80,40,20,0,6031723.2,29994776.0,35.0,11981586.93053344,30158616.0,29994776.0,65227.99999999999,10052872.0,14101062.134505471,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,54.0,49157,592,29994709.0,35.0,14997372.0,14997337.0,29896199.0,65094.0,10019945.0,14054640.621435635,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,4,2,216,108
10.143.15.154,10.143.15.88,43157,53,17,2025-08-22 18:33:25,132302.0,1284.9390031896721,15.116929449290259,7.5584647246451295,7.5584647246451295,1,1,69,101,69.0,69.0,69.0,0.0,101.0,101.0,101.0,0.0,101,69,85.0,16.0,256.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,101.0,0,1,1,69,101
10.143.15.154,10.143.15.88,52606,53,17,2025-08-22 18:33:25,94114.0,1891.32328877744,21.25082346940944,10.62541173470472,10.62541173470472,1,1,73,105,73.0,73.0,73.0,0.0,105.0,105.0,105.0,0.0,105,73,89.0,16.0,256.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,89.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,105.0,0,1,1,73,105
10.143.15.154,10.143.15.88,37118,53,17,2025-08-22 18:33:25,103711.0,1947.7201068353406,19.284357493419215,9.642178746709607,9.642178746709607,1,1,73,129,73.0,73.0,73.0,0.0,129.0,129.0,129.0,0.0,129,73,101.0,28.0,784.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,101.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,129.0,0,1,1,73,129
10.143.15.154,10.143.15.88,58210,53,17,2025-08-22 18:33:25,49099.0,4460.375975070776,40.734027169596125,20.367013584798062,20.367013584798062,1,1,73,146,73.0,73.0,73.0,0.0,146.0,146.0,146.0,0.0,146,73,109.5,36.5,1332.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,109.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,146.0,0,1,1,73,146
10.143.15.154,10.143.15.88,34201,53,17,2025-08-22 18:33:26,154568.0,1766.2129289374254,12.939288856684435,6.469644428342217,6.469644428342217,1,1,74,199,74.0,74.0,74.0,0.0,199.0,199.0,199.0,0.0,199,74,136.5,62.5,3906.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,136.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,199.0,0,1,1,74,199
10.143.15.154,10.143.15.88,38325,53,17,2025-08-22 18:33:26,150660.0,1692.5527678215851,13.274923669188903,6.637461834594451,6.637461834594451,1,1,74,181,74.0,74.0,74.0,0.0,181.0,181.0,181.0,0.0,181,74,127.5,53.5,2862.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,127.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,181.0,0,1,1,74,181
10.143.15.154,10.143.15.88,35275,53,17,2025-08-22 18:33:26,118733.0,2299.27652800822,16.844516688704907,8.422258344352453,8.422258344352453,1,1,74,199,74.0,74.0,74.0,0.0,199.0,199.0,199.0,0.0,199,74,136.5,62.5,3906.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,136.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,199.0,0,1,1,74,199
