src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
3.215.162.150,10.143.15.154,443,58650,6,2025-08-22 18:49:30,30325913.0,25.35785155091621,0.296775895914494,0.16487549773027443,0.13190039818421956,5,4,423,346,97.0,66.0,84.6,15.186836405255702,101.0,66.0,86.5,15.107944929738128,101,66,85.44444444444444,15.181209958447619,230.46913580246914,100,80,20,3,3790739.125,30117093.0,2.0,9950527.463224832,30325913.0,30117093.0,2.0,7581478.25,13011018.772577446,30204395.0,30204073.0,121.0,10068131.666666666,14238260.66241195,0,0,0,0,1,0,0,0,0,0,0,0.8,85.44444444444444,148,501,30116972.0,201.0,15058586.5,15058385.5,30030178.0,86714.0,10079412.666666666,14107328.541888133,0.0,0.0,0.0,0.0,0.0,0.0,84.6,86.5,0,5,4,423,346
140.82.113.6,10.143.15.154,443,55278,6,2025-08-22 18:49:30,1454163.0,381.662853476536,5.501446536598716,2.750723268299358,2.750723268299358,4,4,315,240,105.0,54.0,78.75,19.942103700462496,66.0,54.0,60.0,6.0,105,54,69.375,17.456642718461072,304.734375,80,80,20,2,207737.57142857142,1330471.0,2.0,460319.03384309984,1454092.0,1330508.0,2.0,484697.3333333333,600202.6141147856,1454126.0,1330820.0,17.0,484708.6666666667,600403.9128188808,0,0,0,0,1,0,0,0,0,0,0,1.0,69.375,76,0,1330122.0,37.0,665079.5,665042.5,1330434.0,122884.0,726659.0,603775.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75,60.0,0,4,4,315,240
40.71.11.167,10.143.15.154,443,51472,6,2025-08-22 18:49:32,55667690.0,31.831750158844386,0.16167367462167012,0.07185496649852005,0.08981870812315007,4,5,618,1154,444.0,54.0,154.5,167.21468236970102,890.0,66.0,230.8,329.6,890,54,196.88888888888889,272.42958088873144,74217.87654320986,80,100,20,1,6958461.25,28926144.0,36.0,10512436.520100344,55667690.0,28926215.0,6879237.0,18555896.666666668,9047917.08967695,55534659.0,28926192.0,137422.0,13883664.75,11184951.471015673,0,0,0,0,1,0,0,0,0,0,0,1.25,196.88888888888889,16389,629,28926096.0,36.0,11889303.666666666,12357237.944523482,28926073.0,6741814.0,18465678.0,9100644.749329247,0.0,0.0,0.0,0.0,0.0,0.0,154.5,230.8,0,4,5,618,1154
140.82.113.5,10.143.15.154,443,42870,6,2025-08-22 18:49:34,560324.0,1456.300283407457,19.631498918482876,12.492772039034557,7.138726879448319,7,4,489,327,105.0,54.0,69.85714285714286,18.61204350052154,105.0,66.0,81.75,16.618889854620253,105,54,74.18181818181819,18.804342737387127,353.60330578512406,140,80,20,2,56032.4,368328.0,2.0,110341.10944629839,560324.0,368366.0,2.0,93387.33333333333,129857.93724639589,463273.0,369622.0,435.0,154424.33333333334,156811.15031428373,0,0,0,0,1,0,0,0,0,0,0,0.5714285714285714,74.18181818181819,67,592,367893.0,38.0,152534.0,156616.60795926678,368290.0,89330.0,184846.33333333334,129751.25525490002,0.0,0.0,0.0,0.0,0.0,0.0,69.85714285714286,81.75,0,7,4,489,327
140.82.113.21,10.143.15.154,443,35764,6,2025-08-22 18:49:36,30389091.0,7.897570875022224,0.1316261812503704,0.0658130906251852,0.0658130906251852,2,2,108,132,54.0,54.0,54.0,0.0,66.0,66.0,66.0,0.0,66,54,60.0,6.0,36.0,40,40,20,0,10129697.0,30388993.0,43.0,14325485.583666336,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.0,67,598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,66.0,0,2,2,108,132
63.140.39.68,10.143.15.154,443,36440,6,2025-08-22 18:49:39,9547315.0,61.1690302456764,0.8379319211736495,0.4189659605868247,0.4189659605868247,4,4,344,240,122.0,66.0,86.0,22.978250586152114,66.0,54.0,60.0,6.0,122,54,73.0,21.236760581595302,451.0,80,80,20,2,1363902.142857143,9424604.0,3.0,3291037.4626326934,9547188.0,9424644.0,3.0,3182396.0,4414219.369302573,9547275.0,9424933.0,28.0,3182425.0,4414402.04059372,0,0,0,0,1,0,0,0,0,0,0,1.0,73.0,587,0,9424275.0,40.0,4712157.5,4712117.5,9424564.0,121883.0,4773223.5,4651340.5,0.0,0.0,0.0,0.0,0.0,0.0,86.0,60.0,0,4,4,344,240
51.116.246.106,10.143.15.154,443,50398,6,2025-08-22 18:49:40,47014583.0,87.10063428617457,0.4253999232535998,0.2126999616267999,0.2126999616267999,10,10,910,3185,203.0,54.0,91.0,48.92034341661963,1240.0,66.0,318.5,461.9985389587287,1240,54,204.75,347.64491582647946,120856.9875,200,200,20,3,2474451.736842105,29793234.0,1.0,7277493.709535265,47014583.0,29793234.0,1.0,5223842.555555556,9927647.119818294,46715679.0,29928572.0,54.0,5190631.0,9933684.988933284,0,0,0,0,1,0,0,0,0,0,0,1.0,204.75,16389,598,29793188.0,39.0,4484303.142857143,10335356.644304035,29793232.0,25610.0,6669674.0,10764541.500660622,0.0,0.0,0.0,0.0,0.0,0.0,91.0,318.5,0,10,10,910,3185
3.215.162.150,10.143.15.154,443,58636,6,2025-08-22 18:49:43,30021725.0,23.78277730543465,0.2997829072113611,0.16654605956186727,0.1332368476494938,5,4,380,334,97.0,54.0,76.0,17.69745744450315,101.0,66.0,83.5,17.5,101,54,79.33333333333333,18.0,324.00000000000006,100,80,20,2,3752715.625,28680513.0,52.0,9428122.696088469,30021725.0,28680513.0,109144.0,7505431.25,12231652.09311153,29912706.0,28829162.0,223.0,9970902.0,13342132.58791115,0,0,0,0,1,0,0,0,0,0,0,0.8,79.33333333333333,197,501,28680445.0,223.0,9921211.666666666,13272144.01376601,28531932.0,108790.0,7468039.0,12167493.749870801,0.0,0.0,0.0,0.0,0.0,0.0,76.0,83.5,0,5,4,380,334
10.143.15.154,192.168.49.2,59132,8443,6,2025-08-22 18:49:44,32255941.999999996,4.588301901088488,0.06200407974443903,0.06200407974443903,0.0,2,0,148,0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,74,74,74.0,0.0,0.0,40,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,74.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0,2,0,148,0
10.143.15.154,192.168.49.2,59158,8443,6,2025-08-22 18:49:45,32256023.999999996,4.588290236887225,0.062003922120097636,0.062003922120097636,0.0,2,0,148,0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,74,74,74.0,0.0,0.0,40,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,74.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0,2,0,148,0
