src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
4.249.131.160,10.143.15.154,443,36174,6,2025-08-22 18:59:36,30889134.0,30.69040394593128,0.4208599697226863,0.2589907505985762,0.16186921912411012,8,5,555,393,105.0,54.0,69.375,17.456642718461072,105.0,66.0,78.6,16.144348856488453,105,54,72.92307692307692,17.547568485784964,307.91715976331363,160,100,20,2,2574094.5,30008541.0,1.0,8273518.437635652,30889134.0,30008576.0,1.0,4412733.428571428,10451396.168323852,30758205.0,30008587.0,497.00000000000006,7689551.25,12887924.817564277,0,0,0,0,1,0,0,0,0,0,0,0.625,72.92307692307692,79,629,30008495.0,35.0,7689069.0,12888145.65596178,30008506.0,130853.0,7721775.0,12868753.82337775,0.0,0.0,0.0,0.0,0.0,0.0,69.375,78.6,0,8,5,555,393
40.71.11.167,10.143.15.154,443,37556,6,2025-08-22 18:59:36,46043054.0,8.079394559709268,0.13031281547918172,0.06515640773959086,0.06515640773959086,3,3,174,198,66.0,54.0,58.0,5.656854249492381,66.0,66.0,66.0,0.0,66,54,62.0,5.656854249492381,32.0,60,60,20,0,9208610.8,29539380.0,37.0,11972626.589819001,46043017.0,29539380.0,16503637.000000002,23021508.5,6517871.499999999,46043017.0,29668652.0,16374365.000000002,23021508.5,6647143.499999999,0,0,0,0,1,0,0,0,0,0,0,1.0,62.0,16386,598,16245130.0,37.0,8122583.5,8122546.5,29410145.0,16374328.0,22892236.5,6517908.5,0.0,0.0,0.0,0.0,0.0,0.0,58.0,66.0,0,3,3,174,198
10.143.15.154,142.251.129.202,50076,443,6,2025-08-22 18:59:36,45114900.0,8.511600380362141,0.13299375594315846,0.06649687797157923,0.06649687797157923,3,3,198,186,66.0,66.0,66.0,0.0,66.0,54.0,62.0,5.656854249492381,66,54,64.0,4.47213595499958,20.0,60,60,20,0,9022980.0,30004754.0,38.0,11987785.436040753,45044305.0,30033817.0,15010488.0,22522152.5,7511664.5,45085875.0,30004754.0,15081121.0,22542937.5,7461816.5,0,0,0,0,1,0,0,0,0,0,0,1.0,64.0,598,1043,0.0,0.0,0.0,0.0,29975729.0,29025.0,15005068.0,12225691.305344032,0.0,0.0,0.0,0.0,0.0,0.0,66.0,62.0,0,3,3,198,186
44.240.184.2,10.143.15.154,443,35758,6,2025-08-22 18:59:38,33263351.999999996,23.088472863468482,0.3006311570764125,0.12025246283056501,0.18037869424584752,4,6,302,466,97.0,54.0,75.5,21.5,101.0,66.0,77.66666666666667,16.49915822768611,101,54,76.8,18.69117438792972,349.36,80,120,20,2,3695928.0,29706883.0,28.0,9220301.339246951,33263307.0,29706933.0,1307918.0,11087769.0,13171335.13800665,33263314.0,29706911.0,184020.0,6652662.8,11547957.856835319,0,0,0,0,1,0,0,0,0,0,0,1.5,76.8,218,619,29706855.0,38.0,10590430.333333334,13543600.32339152,29706833.0,1109213.0,10960152.0,13261639.836109335,0.0,0.0,0.0,0.0,0.0,0.0,75.5,77.66666666666667,0,4,6,302,466
20.189.173.16,10.143.15.154,443,35568,6,2025-08-22 18:59:42,30117582.0,12.351589181362568,0.19921918034455754,0.1328127868963717,0.06640639344818584,4,2,240,132,66.0,54.0,60.0,6.0,66.0,66.0,66.0,0.0,66,54,62.0,5.656854249492381,32.0,80,40,20,0,6023516.4,30025906.0,47.0,12001238.049239997,30117582.0,30025906.0,6479.0,10039194.0,14132776.126415951,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,62.0,16389,592,30025859.0,49.0,15012954.0,15012905.0,29940758.0,6385.0,10010747.333333334,14092682.329339918,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,4,2,240,132
3.215.162.150,10.143.15.154,443,58636,6,2025-08-22 18:59:42,30613590.0,25.086897681715868,0.3266523135640087,0.19599138813840522,0.13066092542560348,6,4,434,334,97.0,54.0,72.33333333333333,18.116904322268255,101.0,66.0,83.5,17.5,101,54,76.8,18.69117438792972,349.36,120,80,20,2,3401510.0,29478256.0,35.0,9221030.641233211,30613590.0,29478256.0,120905.0,6122718.0,11678535.45538741,30428825.0,29598848.0,317758.0,10142941.666666666,13757632.359499227,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,76.8,197,501,29478221.0,66.0,7576798.0,12646110.357649837,29357699.0,120209.0,6098351.8,11630445.258362526,0.0,0.0,0.0,0.0,0.0,0.0,72.33333333333333,83.5,0,6,4,434,334
140.82.113.21,10.143.15.154,443,51072,6,2025-08-22 18:59:50,30007349.0,7.998040746618436,0.13330067911030727,0.06665033955515363,0.06665033955515363,2,2,108,132,54.0,54.0,54.0,0.0,66.0,66.0,66.0,0.0,66,54,60.0,6.0,36.0,40,40,20,0,10002449.666666666,30007282.0,30.0,14145552.599400192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.0,574,629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,66.0,0,2,2,108,132
13.216.226.19,10.143.15.154,443,37570,6,2025-08-22 18:59:54,30510838.0,29.956568220119028,0.3277523875286546,0.19665143251719275,0.13110095501146182,6,4,505,409,133.0,54.0,84.16666666666667,34.52736434900424,139.0,66.0,102.25,36.25172409693089,139,54,91.4,36.3240966852584,1319.4399999999998,120,80,20,2,3390093.111111111,29713928.0,53.0,9307555.348334115,30510838.0,29713928.0,106273.0,6102167.6,11806168.647112992,30405649.0,29820855.0,289298.0,10135216.333333334,13919848.823166683,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,91.4,218,495,29713874.0,53.0,7573701.25,12783184.56713055,29607055.0,103999.0,6079967.0,11763839.329258846,0.0,0.0,0.0,0.0,0.0,0.0,84.16666666666667,102.25,0,6,4,505,409
13.216.226.19,10.143.15.154,443,37566,6,2025-08-22 18:59:54,30497459.0,30.13365802049279,0.3278961699727181,0.19673770198363083,0.13115846798908723,6,4,508,411,134.0,54.0,84.66666666666667,35.22625283632775,140.0,66.0,102.75,36.75170064092273,140,54,91.9,36.92275721015428,1363.29,120,80,20,2,3388606.5555555555,29713928.0,65.0,9308067.164279526,30497459.0,29713928.0,92898.0,6099491.8,11807509.96395759,30405478.0,29826804.0,283359.0,10135159.333333334,13924096.332022898,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,91.9,151,598,29713852.0,65.0,7572039.75,12784119.165422492,29601128.0,90934.0,6075989.0,11762868.937654113,0.0,0.0,0.0,0.0,0.0,0.0,84.66666666666667,102.75,0,6,4,508,411
3.215.162.150,10.143.15.154,443,58644,6,2025-08-22 18:59:54,31026861.0,24.75274569348153,0.3223013762172074,0.19338082573032445,0.12892055048688297,6,4,434,334,97.0,54.0,72.33333333333333,18.116904322268255,101.0,66.0,83.5,17.5,101,54,76.8,18.69117438792972,349.36,120,80,20,2,3447429.0,29194097.0,72.0,9107675.705633635,31026861.0,29194097.0,96932.0,6205372.2,11497633.545665255,30808717.0,29290798.0,698547.0,10269572.333333334,13450128.105135908,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,76.8,131,501,29194008.0,72.0,7677735.25,12426356.415109606,29097485.0,96292.0,6185773.8,11459141.871395316,0.0,0.0,0.0,0.0,0.0,0.0,72.33333333333333,83.5,0,6,4,434,334
