src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.5,192.168.1.3,42974,80,6,2025-08-09 12:21:12,41230.0,29347.562454523402,242.54183846713556,121.27091923356778,121.27091923356778,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,4581.111111111111,18101.0,36.0,6702.933826060288,41194.0,18101.0,2614.0,10298.5,6627.6856631859055,41178.0,22348.0,54.0,10294.5,10056.570352262246,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,11309.0,2562.0,6935.5,4373.5,13890.0,12958.0,13424.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43004,80,6,2025-08-09 12:21:12,29171.0,41479.551609475166,342.80621164855506,171.40310582427753,171.40310582427753,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,3241.222222222222,15428.0,56.0,4807.249104281708,29115.0,15428.0,2659.0,7278.75,4942.07923727453,29089.0,18076.0,69.0,7272.25,7368.668684877886,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43008,80,6,2025-08-09 12:21:12,55896.0,21647.345069414627,178.90367825962502,89.45183912981251,89.45183912981251,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,6210.666666666667,31560.0,34.0,10581.345409099293,55862.0,31559.999999999996,2497.0,13965.5,12033.852926224417,55815.0,34080.0,53.0,13953.75,14350.970548624926,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,29230.0,2416.0,15823.0,13407.0,29144.0,16299.0,22721.5,6422.5,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43018,80,6,2025-08-09 12:21:12,51220.0,23623.58453729012,195.2362358453729,97.61811792268645,97.61811792268645,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,5691.111111111111,29157.0,36.0,9665.472483070223,51184.0,29157.0,2401.0,12796.0,10973.085960658469,51161.0,31568.0,70.0,12790.25,13211.15809410742,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,26788.0,2342.0,14565.0,12223.0,26815.0,14081.0,20448.0,6367.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43030,80,6,2025-08-09 12:21:12,45823.0,26405.95334220806,218.2310193570914,109.1155096785457,109.1155096785457,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,5091.444444444444,18220.0,23.0,7129.414392518288,45800.0,18220.0,3235.0,11450.0,6642.914232473576,45782.0,23523.0,66.0,11445.5,11074.90646687366,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,18154.0,3194.0,10674.0,7480.0,15026.0,5687.0,10902.333333333334,3889.9899171534566,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43056,80,6,2025-08-09 12:21:12,37380.0,32370.25147137507,267.52273943285184,133.76136971642592,133.76136971642592,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,4153.333333333333,15467.0,48.0,5261.050718883697,37315.0,15467.0,3292.0,9328.75,4304.962739385789,37332.0,23700.0,86.0,9333.0,9663.895824148769,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,9243.0,3244.0,6243.5,2999.5,8082.0,6085.0,7155.333333333333,821.5766684991866,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43068,80,6,2025-08-09 12:21:12,29484.0,41039.207705874374,339.1670058336725,169.58350291683624,169.58350291683624,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,3276.0,14645.0,62.0,4780.587992659016,29420.0,14645.0,2795.0,7355.0,4774.2473752414635,29422.0,17459.0,71.0,7355.5,7276.200158736701,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,12221.0,2733.0,7477.0,4744.0,11912.0,6165.0,9038.5,2873.5,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43076,80,6,2025-08-09 12:21:12,55403.0,21839.972564662563,180.49564103026913,90.24782051513456,90.24782051513456,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,6155.888888888889,29214.0,24.0,10278.837595807594,55379.0,29214.0,2696.0,13844.75,11491.39681185451,55319.0,32021.0,41.0,13829.75,13967.346121847915,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,27083.0,2740.0,14911.5,12171.5,26474.0,18514.0,22494.0,3980.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43082,80,6,2025-08-09 12:21:12,51429.0,23527.58171459682,194.44282408757704,97.22141204378852,97.22141204378852,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,5714.333333333333,24621.0,36.0,9184.31539818474,51393.0,24621.0,2945.0,12848.25,9961.085818699687,51342.0,27611.0,66.0,12835.5,12571.237618070863,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,22487.0,2925.0,12706.0,9781.0,21696.0,18681.0,20188.5,1507.5,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43094,80,6,2025-08-09 12:21:12,46985.0,25752.899861657977,212.83388315419816,106.41694157709908,106.41694157709908,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,5220.555555555556,21047.0,23.0,8177.494687129102,46962.0,21047.0,2522.0,11740.5,8671.769845308396,46924.0,23932.0,63.0,11731.0,11376.217319478386,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,16872.0,2461.0,9666.5,7205.5,18185.0,17273.0,17729.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43098,80,6,2025-08-09 12:21:12,42532.0,28449.167685507382,235.11708830997836,117.55854415498918,117.55854415498918,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,4725.777777777777,19109.0,34.0,6884.72389146641,42498.0,19109.0,2444.0,10624.5,6802.586879268798,42479.0,23910.0,62.0,10619.75,10427.804044356606,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,10509.0,2391.0,6450.0,4059.0,14342.0,12885.0,13613.5,728.5,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
192.168.1.5,192.168.1.3,43112,80,6,2025-08-09 12:21:12,38500.0,31428.571428571428,259.7402597402597,129.87012987012986,129.87012987012986,5,5,585,625,313.0,66.0,117.0,98.04896735815223,353.0,66.0,125.0,114.04209749035661,353,66,121.0,106.42180227754086,11325.6,100,100,20,1,4277.777777777777,20120.0,42.0,6446.475191533877,38423.0,20120.0,2431.0,9605.75,6712.543458890974,38458.0,24437.0,73.0,9614.5,9950.435505544468,0,0,0,0,1,0,0,0,0,0,0,1.0,121.0,65535,508,6209.0,2389.0,4299.0,1910.0,15880.0,8060.0,11970.0,3910.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,0,5,5,585,625
