src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.5,192.168.1.3,60556,80,6,2025-08-09 13:04:24,0.0,0,0,0,0,1,0,74,0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,74,74,74.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,74.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0,1,0,74,0
192.168.1.5,192.168.1.3,56582,80,6,2025-08-09 13:04:25,75059242.0,50.53341732387865,0.2797790044295944,0.1465509070821685,0.1332280973474259,11,10,1829,1964,342.0,66.0,166.27272727272728,110.11076316731828,1370.0,66.0,196.4,391.19999999999993,1370,66,180.61904761904762,281.8727298403739,79452.2358276644,220,200,20,9,3752962.1,14885651.0,1.0,4908863.2553919535,75059177.0,14885651.0,1.0,7505917.7,4475310.8612317,52743317.0,10211126.0,157.0,5860368.555555556,4444185.4548550695,0,0,0,0,1,0,0,0,0,0,0,0.9090909090909091,180.61904761904762,502,507,14885608.0,8079912.999999999,10490717.833333334,2089900.5877657929,10210966.0,4677309.0,8452718.0,1804107.4995397308,0.0,0.0,0.0,0.0,0.0,0.0,166.27272727272728,196.4,0,11,10,1829,1964
192.168.1.5,192.168.1.3,55352,80,6,2025-08-09 13:04:25,70045384.0,44.64248493519573,0.29980562316568926,0.15704104070583724,0.14276458245985205,11,10,1155,1972,342.0,66.0,105.0,75.9988038183377,1370.0,66.0,197.2,390.9406093001851,1370,66,148.9047619047619,279.14903081668706,77924.1814058957,220,200,20,6,3502269.2,16150605.0,1.0,5131425.97077542,70045332.0,16150604.999999998,1.0,7004533.2,5304613.953839427,53894626.0,10225763.0,127.0,5988291.777777778,4575053.502292861,0,0,0,0,1,0,0,0,0,0,0,0.9090909090909091,148.9047619047619,64240,507,16150222.0,4239565.0,10061700.0,3442152.6024857373,16150605.0,4239308.0,10004999.857142856,3190010.961178187,0.0,0.0,0.0,0.0,0.0,0.0,105.0,197.2,0,11,10,1155,1972
192.168.1.5,192.168.1.3,55360,80,6,2025-08-09 13:04:25,70016179.0,44.432587502382844,0.29993067745099317,0.1571065453314726,0.14282413211952055,11,10,1139,1972,342.0,66.0,103.54545454545455,76.23452288391947,1370.0,66.0,197.2,390.9406093001851,1370,66,148.14285714285714,279.3034338551271,78010.40816326534,220,200,20,6,3500808.95,16150603.0,2.0,5129598.466167449,70016078.0,16150603.0,2.0,7001607.8,5303136.9104122855,53865441.0,10225733.0,100.0,5985049.0,4572259.617992788,0,0,0,0,1,0,0,0,0,0,0,0.9090909090909091,148.14285714285714,64240,507,16150155.999999998,4239723.0,10061697.166666666,3442088.973599385,16150603.0,4239313.0,10000713.714285715,3190482.9546410018,0.0,0.0,0.0,0.0,0.0,0.0,103.54545454545455,197.2,0,11,10,1139,1972
192.168.1.5,192.168.1.3,56580,80,6,2025-08-09 13:04:25,74987099.0,50.04860902806762,0.280048172019563,0.1466918996292949,0.1333562723902681,11,10,1789,1964,342.0,66.0,162.63636363636363,112.51122992619061,1370.0,66.0,196.4,391.19999999999993,1370,66,178.71428571428572,282.4714301368147,79790.10884353741,220,200,20,9,3749354.95,14885653.0,1.0,4908250.221742495,74986983.0,14885653.0,1.0,7498698.3,4480004.609379259,52670960.0,10219821.0,104.0,5852328.888888889,4446487.082809441,0,0,0,0,1,0,0,0,0,0,0,0.9090909090909091,178.71428571428572,502,507,14885590.0,8079902.000000001,10490737.666666666,2090199.3382594448,10219705.0,4605109.0,8443705.625,1823333.4302991552,0.0,0.0,0.0,0.0,0.0,0.0,162.63636363636363,196.4,0,11,10,1789,1964
192.168.1.5,192.168.1.3,56528,80,6,2025-08-09 13:04:25,74956985.0,49.8686013051352,0.2801606814895236,0.14675083316117904,0.13340984832834457,11,10,1774,1964,342.0,66.0,161.27272727272728,114.36392542238363,1370.0,66.0,196.4,391.19999999999993,1370,66,178.0,282.90230519689,80033.71428571429,220,200,20,9,3747849.25,14885656.0,1.0,4907982.275876726,74956904.0,14885656.0,1.0,7495690.4,4481911.812574567,52641741.0,10220887.0,134.0,5849082.333333333,4447470.502101141,0,0,0,0,1,0,0,0,0,0,0,0.9090909090909091,178.0,502,507,14885577.0,8079630.999999999,10490705.5,2090282.0351272977,10220671.0,4576444.0,8440093.75,1830923.6142666321,0.0,0.0,0.0,0.0,0.0,0.0,161.27272727272728,196.4,0,11,10,1774,1964
192.168.1.5,192.168.1.3,56538,80,6,2025-08-09 13:04:25,75065232.0,50.4228109226386,0.27975667883101996,0.14653921272101045,0.1332174661100095,11,10,1821,1964,342.0,66.0,165.54545454545453,111.26819658037033,1370.0,66.0,196.4,391.19999999999993,1370,66,180.23809523809524,282.13031517231366,79597.51473922904,220,200,20,9,3753261.6,14885658.0,1.0,4908958.1006387435,75065176.0,14885658.0,1.0,7506517.6,4474970.041789045,52749919.0,10220819.0,152.0,5861102.111111111,4444136.984569906,0,0,0,0,1,0,0,0,0,0,0,0.9090909090909091,180.23809523809524,502,507,14885565.0,8079924.0,10490771.5,2090211.7516595258,10220742.0,4684420.0,8453642.625,1802593.0973255541,0.0,0.0,0.0,0.0,0.0,0.0,165.54545454545453,196.4,0,11,10,1821,1964
192.168.1.5,192.168.1.3,56544,80,6,2025-08-09 13:04:25,69247525.0,51.279811083500825,0.31770088533850127,0.15885044266925064,0.15885044266925064,11,11,1521,2030,342.0,66.0,138.27272727272728,97.29439011118492,1370.0,66.0,184.54545454545453,374.873642623597,1370,66,161.4090909090909,274.83361232354736,75533.51446280991,220,220,20,9,3297501.1904761903,10211147.0,1.0,4436643.2581038065,69247424.0,10211204.0,1.0,6924742.4,4033470.948949458,61818208.0,10211240.0,125.0,6181820.8,4520721.110800307,0,0,0,0,1,0,0,0,0,0,0,1.0,161.4090909090909,502,507,10211054.0,5908.0,7690891.111111111,3485574.4662311147,10211090.0,5804.0,6924600.7,4027330.38634801,0.0,0.0,0.0,0.0,0.0,0.0,138.27272727272728,184.54545454545453,0,11,11,1521,2030
192.168.1.5,192.168.1.3,56554,80,6,2025-08-09 13:04:25,69093510.0,50.46783699366265,0.3184090662060735,0.15920453310303675,0.15920453310303675,11,11,1457,2030,342.0,66.0,132.45454545454547,99.35735653448445,1370.0,66.0,184.54545454545453,374.873642623597,1370,66,158.5,275.4622148647284,75879.43181818182,220,220,20,9,3290167.1428571427,10211131.0,2.0,4429953.307476118,69093439.0,10211202.0,2.0,6909343.9,4026436.673703374,61664268.0,10211211.0,174.0,6166426.8,4516754.383655919,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,502,507,10211051.0,2973397.0,8624983.142857144,2473945.2688670275,10211060.0,2973456.0,8635574.125,2314309.782313478,0.0,0.0,0.0,0.0,0.0,0.0,132.45454545454547,184.54545454545453,0,11,11,1457,2030
192.168.1.5,192.168.1.3,56504,80,6,2025-08-09 13:04:25,69054787.0,50.32236215571847,0.3185876165254119,0.15929380826270595,0.15929380826270595,11,11,1445,2030,342.0,66.0,131.36363636363637,100.01933697338251,1370.0,66.0,184.54545454545453,374.873642623597,1370,66,157.95454545454547,275.6340586675033,75974.13429752066,220,220,20,9,3288323.1904761903,10211270.0,35.0,4427507.078884283,69054752.0,10211395.0,1520.0,6905475.2,4024271.4018491297,61625652.0,10211397.0,87.0,6162565.2,4514296.62733664,0,0,0,0,1,0,0,0,0,0,0,1.0,157.95454545454547,502,507,10211143.0,2973446.0,8624856.285714285,2473953.658563019,10211145.0,2973474.0,8630453.0,2314210.7501949775,0.0,0.0,0.0,0.0,0.0,0.0,131.36363636363637,184.54545454545453,0,11,11,1445,2030
