src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.5,192.168.1.3,36984,80,6,2025-08-09 12:44:59,13997802.0,131.59208852932767,0.5715182998016403,0.28575914990082013,0.28575914990082013,4,4,286,1556,77.0,66.0,71.5,5.5,1370.0,54.0,389.0,566.4018008445947,1370,54,230.25,430.8389345219394,185622.1875,80,80,20,2,1999686.0,9840545.0,81.0,3499196.357869577,13997716.0,9844562.0,46657.0,4665905.333333333,4019489.0935547464,13997721.0,9840545.0,151.0,4665907.0,4033407.0946080643,0,0,0,0,1,0,0,0,0,0,0,1.0,230.25,502,0,9836760.0,81.0,4918420.5,4918339.5,9840464.0,42872.0,4647725.333333333,4021393.549793184,0.0,0.0,0.0,0.0,0.0,0.0,71.5,389.0,0,4,4,286,1556
40.79.173.41,192.168.1.3,443,58528,6,2025-08-09 12:44:59,28223132.0,4.464423013009329,0.07086385734935442,0.07086385734935442,0.0,2,0,126,0,66.0,60.0,63.0,3.0,0.0,0.0,0.0,0.0,66,60,63.0,3.0,9.0,40,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,63.0,16386,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0,2,0,126,0
192.168.1.5,192.168.1.3,36990,80,6,2025-08-09 12:44:59,13995982.0,131.6092004119468,0.5715926185100838,0.2857963092550419,0.2857963092550419,4,4,286,1556,77.0,66.0,71.5,5.5,1370.0,54.0,389.0,566.4018008445947,1370,54,230.25,430.8389345219394,185622.1875,80,80,20,2,1999426.0,9811109.0,63.0,3492177.8678121683,13995919.0,9815130.0,46660.0,4665306.333333333,4005609.695981402,13995919.0,9811109.0,144.0,4665306.333333333,4019703.132100374,0,0,0,0,1,0,0,0,0,0,0,1.0,230.25,502,0,9807295.0,63.0,4903679.0,4903616.0,9811046.0,42846.0,4647120.333333333,4007438.086124046,0.0,0.0,0.0,0.0,0.0,0.0,71.5,389.0,0,4,4,286,1556
192.168.1.5,192.168.1.3,37002,80,6,2025-08-09 12:44:59,13997040.0,131.31347770671513,0.5715494133045272,0.2857747066522636,0.2857747066522636,4,4,282,1556,75.0,66.0,70.5,4.5,1370.0,54.0,389.0,566.4018008445947,1370,54,229.75,431.0176185494045,185776.1875,80,80,20,2,1999577.142857143,9814904.0,60.0,3493437.974350295,13996980.0,9818155.0,45729.0,4665660.0,4007309.637145683,13996967.0,9814904.0,150.0,4665655.666666667,4021430.445815215,0,0,0,0,1,0,0,0,0,0,0,1.0,229.75,502,0,9811876.0,73.0,4905974.5,4905901.5,9814831.0,42701.0,4648299.666666667,4009124.200007223,0.0,0.0,0.0,0.0,0.0,0.0,70.5,389.0,0,4,4,282,1556
192.168.1.5,192.168.1.3,37014,80,6,2025-08-09 12:44:59,13995953.0,131.60947310983397,0.5715938028657284,0.2857969014328642,0.2857969014328642,4,4,286,1556,77.0,66.0,71.5,5.5,1370.0,54.0,389.0,566.4018008445947,1370,54,230.25,430.8389345219394,185622.1875,80,80,20,2,1999421.857142857,9845398.0,62.0,3500828.731828566,13995891.0,9848778.0,43374.0,4665297.0,4022685.458026516,13995886.0,9845398.0,132.0,4665295.333333333,4035772.33752098,0,0,0,0,1,0,0,0,0,0,0,1.0,230.25,502,0,9842217.0,67.0,4921142.0,4921075.0,9845331.0,40193.0,4648629.666666667,4024485.415412123,0.0,0.0,0.0,0.0,0.0,0.0,71.5,389.0,0,4,4,286,1556
192.168.1.5,192.168.1.3,37018,80,6,2025-08-09 12:44:59,13996902.0,131.60054989311206,0.5715550483957093,0.2857775241978546,0.2857775241978546,4,4,286,1556,77.0,66.0,71.5,5.5,1370.0,54.0,389.0,566.4018008445947,1370,54,230.25,430.8389345219394,185622.1875,80,80,20,2,1999557.4285714286,9727319.0,64.0,3473918.1588683263,13996838.0,9730394.0,42487.0,4665612.666666667,3967382.0340443086,13996828.0,9727319.0,146.0,4665609.333333333,3980974.0860324064,0,0,0,0,1,0,0,0,0,0,0,1.0,230.25,502,0,9724464.0,74.0,4862269.0,4862195.0,9727245.0,39632.0,4649449.0,3968770.9825396407,0.0,0.0,0.0,0.0,0.0,0.0,71.5,389.0,0,4,4,286,1556
192.168.1.5,192.168.1.3,37022,80,6,2025-08-09 12:44:59,13997765.0,131.4495564113271,0.5715198104840309,0.28575990524201544,0.28575990524201544,4,4,284,1556,76.0,66.0,71.0,5.0,1370.0,54.0,389.0,566.4018008445947,1370,54,230.0,430.92806824341346,185699.0,80,80,20,2,1999680.7142857143,9681134.0,38.0,3462521.0609741616,13997727.0,9684441.0,48582.0,4665909.0,3944039.2793842712,13997694.0,9681134.0,167.0,4665898.0,3959957.5605925373,0,0,0,0,1,0,0,0,0,0,0,1.0,230.0,502,0,9678065.0,71.0,4839068.0,4838997.0,9681063.0,45513.0,4647566.0,3945509.168195912,0.0,0.0,0.0,0.0,0.0,0.0,71.0,389.0,0,4,4,284,1556
192.168.1.5,192.168.1.3,37026,80,6,2025-08-09 12:45:00,13996251.0,131.60667095781577,0.5715816328243899,0.28579081641219495,0.28579081641219495,4,4,286,1556,77.0,66.0,71.5,5.5,1370.0,54.0,389.0,566.4018008445947,1370,54,230.25,430.8389345219394,185622.1875,80,80,20,2,1999464.4285714286,10760176.0,49.0,3741126.9935862473,13996202.0,10766672.0,39826.0,4665400.666666667,4501819.39264096,13996172.0,10760176.0,174.0,4665390.666666667,4507561.106225652,0,0,0,0,1,0,0,0,0,0,0,1.0,230.25,502,0,10760002.0,79.0,5380040.5,5379961.5,10760097.0,6069.0,3487406.75,4389036.3451206675,0.0,0.0,0.0,0.0,0.0,0.0,71.5,389.0,0,4,4,286,1556
192.168.1.5,192.168.1.3,37030,80,6,2025-08-09 12:45:00,13996805.0,131.31568240037637,0.571559009359636,0.285779504679818,0.285779504679818,4,4,282,1556,75.0,66.0,70.5,4.5,1370.0,54.0,389.0,566.4018008445947,1370,54,229.75,431.0176185494045,185776.1875,80,80,20,2,1999543.5714285714,10729719.0,53.0,3732085.490793504,13996752.0,10734492.0,43932.0,4665584.0,4482776.723233937,13996726.0,10729719.0,83.0,4665575.333333333,4490615.498815304,0,0,0,0,1,0,0,0,0,0,0,1.0,229.75,502,0,10725108.0,79.0,5362593.5,5362514.5,10729640.0,39321.0,4647785.666666667,4486935.6962051755,0.0,0.0,0.0,0.0,0.0,0.0,70.5,389.0,0,4,4,282,1556
192.168.1.5,192.168.1.3,37046,80,6,2025-08-09 12:45:00,13996998.0,131.59964729579872,0.5715511283205156,0.2857755641602578,0.2857755641602578,4,4,286,1556,77.0,66.0,71.5,5.5,1370.0,54.0,389.0,566.4018008445947,1370,54,230.25,430.8389345219394,185622.1875,80,80,20,2,1999571.142857143,10627162.0,52.0,3701481.2502953243,13996946.0,10648616.0,38308.0,4665648.666666667,4436436.385828108,13996896.0,10627162.0,90.0,4665632.0,4434211.955195948,0,0,0,0,1,0,0,0,0,0,0,1.0,230.25,502,0,10627072.0,102.0,5313587.0,5313485.0,10627060.0,17046.0,3484248.0,4332416.157846566,0.0,0.0,0.0,0.0,0.0,0.0,71.5,389.0,0,4,4,286,1556
192.168.1.5,192.168.1.3,37050,80,6,2025-08-09 12:45:00,13995923.0,131.60975521228576,0.5715950280663876,0.2857975140331938,0.2857975140331938,4,4,286,1556,77.0,66.0,71.5,5.5,1370.0,54.0,389.0,566.4018008445947,1370,54,230.25,430.8389345219394,185622.1875,80,80,20,2,1999417.5714285714,10625190.0,50.0,3702394.9035859345,13995873.0,10628892.0,44156.0,4665291.0,4424237.807674975,13995842.0,10625190.0,123.00000000000001,4665280.666666667,4433230.469787191,0,0,0,0,1,0,0,0,0,0,0,1.0,230.25,502,0,10621692.0,81.0,5310886.5,5310805.5,10625109.0,40658.0,4648145.333333333,4428261.495855933,0.0,0.0,0.0,0.0,0.0,0.0,71.5,389.0,0,4,4,286,1556
